Timestamp	Species---SequenceName	Type of dormancy	Life stage	Organ/tissue/cell type that is/are used for analysis	Expression level 	Level of fold change (if applicable)	Methodology used for the expression analysis.	DOI	URL	SPECIAL NOTES (p.e. larvae were exposed to low/high temperatures during diapause; expression in comparison to winter or summer diapause etc.)	Who typed in the data	Gender	Who typed in the data
11/11/2015 19:18:40	Aedes albopictus---3-hydroxyacyl-CoAdehydrogenase	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 18:54:50	Aedes albopictus---3,2-Trans-enoyl-CoA isomerase	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 18:49:33	Aedes albopictus---Acetyl-CoA synthase	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d non-diapause embryos	Iva		
11/11/2015 19:23:01	Aedes albopictus---Acetyl-CoAcarboxylase_acc	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:07:54	Aedes albopictus---Acyl-CoA dehdrogenase 4	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:06:01	Aedes albopictus---Acyl-CoA dehydrogenase 2	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:24:37	Aedes albopictus---Acyl-CoA Δ(11) desaturase	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:36:04	Aedes albopictus---AMP activated protein kinase beta	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:36:53	Aedes albopictus---AMP activated protein kinase gamma	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:35:30	Aedes albopictus---AMP activated protein kinase-alpha	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/8/2015 17:08:07	Aedes albopictus---Apolipophorin-III	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
12/10/2015 16:43:03	Aedes albopictus---atypical odorant-binding protein 46 (OBP46) mRNA	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	http://www.sciencedirect.com/science/article/pii/S0022191010000740; RNA isolated from mature (stage V) oocytes 	Iva		
12/4/2015 13:09:22	Aedes albopictus---bhlhzip transcription factor bigmax	diapause	embryo/egg	whole body	up	0.87	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
11/11/2015 18:52:16	Aedes albopictus---Carnitine O-palmitoyltransferase	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d non-diapause embryos	Iva		
12/4/2015 13:04:50	Aedes albopictus---conserved hypothetical protein_AAEL004873	diapause	embryo/egg	whole body	down	0.48	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
12/4/2015 13:06:23	Aedes albopictus---conserved hypothetical protein_AAEL008645	diapause	embryo/egg	whole body	up	1.33	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
12/4/2015 13:15:11	Aedes albopictus---conserved hypothetical protein_AAEL012019	diapause	embryo/egg	whole body	up	0.92	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
11/11/2015 18:58:28	Aedes albopictus---Cyclo-hex-1-ene-1-carboxyl CoA hydratase	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/22/2015 16:09:43	Aedes albopictus---CYP18A1	diapause	embryo/egg	whole body	down		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
12/10/2015 16:35:33	Aedes albopictus---cysteine-rich venom protein	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	under SD photoperiods across both temperate and tropical populations; RNA isolated from mature (stage V) oocytes 	Iva		
11/22/2015 17:46:34	Aedes albopictus---ecdysone inducible protein L2, putative	diapause	embryo/egg	whole body	down	0.85	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
12/10/2015 13:45:24	Aedes albopictus---epithelial membrane protein mRNA	diapause	embryo/egg	whole body	up	2.25-3.35	QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	comparison between SD and LD conditions in temperate (diapausing) populations; RNA isolated from mature (stage V) oocytes 	Iva		
12/10/2015 13:52:13	Aedes albopictus---epithelial membrane protein mRNA	diapause	embryo/egg	whole body	stable	0.16-1.9	QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	comparison between SD and LD conditions in tropical (non-diapausing) populations; RNA isolated from mature (stage V) oocytes 	Iva		
11/8/2015 17:07:01	Aedes albopictus---Fatty acid binding protein	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d and 6 d non-diapause embryos	Iva		
11/11/2015 19:30:43	Aedes albopictus---fatty acyl CoA elongase mRNA	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
12/10/2015 17:26:48	Aedes albopictus---fatty acyl CoA elongase mRNA	diapause	embryo/egg	whole body	up	1.6-7	QRT-PCR	doi:10.1098/rspb.2010.0362	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2982042/	under SD photoperiod relative to LD photoperiod treatments in temperate population	Iva		
12/10/2015 17:27:58	Aedes albopictus---fatty acyl CoA elongase mRNA	diapause	embryo/egg	whole body	stable	0.56-1.7	QRT-PCR	doi:10.1098/rspb.2010.0362	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2982042/	under SD photoperiod relative to LD photoperiod treatments in tropical population	Iva		
11/22/2015 13:58:21	Aedes albopictus---gene containing a JH binding protein domain	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
12/4/2015 13:12:19	Aedes albopictus---GPCR Methuselah Family	diapause	embryo/egg	whole body	stable	0.88	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
12/10/2015 16:38:37	Aedes albopictus---heat shock protein 67B2	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	under SD photoperiods across both temperate and tropical populations; RNA isolated from mature (stage V) oocytes 	Iva		
