Timestamp	Latin name of a given species	Sequence name (from NCBI or other sources)	Sequence Accession Number from NCBI	Type of a given sequence	GO - Molecular Function (from Uniprot)	GO - Biological process (from Uniprot)	Special Note	Sequence Accession Number from other source	Choose alternative Source of Sequence Accession Number	Who typed in the data	
6/13/2015 11:39:15	Aedes albopictus	3-hydroxyacyl-CoA dehydrogenase	JO884349	mRNA	NaN	NaN					
6/13/2015 11:31:46	Aedes albopictus	3,2-Trans-enoyl-CoA isomerase	JO850771	mRNA	NaN	NaN					
6/10/2015 15:05:18	Aedes albopictus	60S ribosomal protein L9		mRNA	rRNA binding; structural constituent of ribosome	translation	Similar to Aedes aegypti, UniProt identifier: XM_001652777	AAEL007699	Vector Base		
6/13/2015 11:18:17	Aedes albopictus	Acetyl-CoA synthase		mRNA	acetyl-CoA carboxylase activity; ATP binding; biotin carboxylase activity; metal ion binding	fatty acid biosynthetic process	Similar to Aedes aegypti, UniProt identifier: XM_001651829	AAEL006307	Vector Base		
6/13/2015 10:52:31	Aedes albopictus	Acetyl-CoA carboxylase_acc	JO861035	mRNA	NaN	NaN					
6/13/2015 11:36:40	Aedes albopictus	Acyl-CoA dehdrogenase 4	JO893690	mRNA	NaN	NaN					
6/13/2015 11:33:54	Aedes albopictus	Acyl-CoA dehydrogenase 2	JO888990	mRNA	NaN	NaN					
6/13/2015 11:44:51	Aedes albopictus	Acyl-CoA Δ(11) desaturase	JO854414	mRNA	NaN	NaN					
6/10/2015 14:30:08	Aedes albopictus	aldo-keto reductase		mRNA	oxidoreductase activity	oxidation-reduction process	Similar to Aedes aegypti, UniProt identifier: XM_001648408	AAEL004102	Vector Base		
6/10/2015 13:26:28	Aedes albopictus	amino acid transporter		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001648078	AAEL003970	Vector Base		
6/13/2015 11:41:43	Aedes albopictus	AMP activated protein kinase beta	JO867565	mRNA	NaN	NaN					
6/13/2015 11:42:44	Aedes albopictus	AMP activated protein kinase gamma	JO855296	mRNA	NaN	NaN					
6/13/2015 11:40:05	Aedes albopictus	AMP activated protein kinase-alpha	JO905089	mRNA	NaN	NaN					
6/13/2015 10:56:05	Aedes albopictus	Apolipophorin-III	JO863154	mRNA	NaN	NaN					
6/10/2015 12:20:27	Aedes albopictus	apolipophorin-III, putative		mRNA	lipid binding	lipid transport	Similar to Aedes aegypti, UniProt identifier: XM_001659474	AAEL008789	Vector Base		
6/10/2015 11:50:14	Aedes albopictus	ATP-citrate synthase		mRNA	ATP binding; ATP citrate synthase activity; cofactor binding; succinate-CoA ligase (ADP-forming) activity	cellular carbohydrate metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001648798	AAEL004297	Vector Base		
6/11/2015 10:36:45	Aedes albopictus	atypical odorant-binding protein 46 (OBP46) mRNA	FJ040863	mRNA	odorant binding	NaN					
6/10/2015 11:44:13	Aedes albopictus	bhlhzip transcription factor bigmax		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001655128	AAEL011202	Vector Base		
6/10/2015 13:33:24	Aedes albopictus	Bromodomain-containing protein, putative		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001654690	AAEL002125	Vector Base		
6/13/2015 11:29:59	Aedes albopictus	Carnitine O-palmitoyltransferase	JO882235	mRNA	NaN	NaN					
6/10/2015 15:06:47	Aedes albopictus	conserved hypothetical protein_AAEL000269		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001654740	AAEL000269	Vector Base		
6/10/2015 14:44:54	Aedes albopictus	conserved hypothetical protein_AAEL004873		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001649899	AAEL004873	Vector Base		
6/10/2015 14:46:26	Aedes albopictus	conserved hypothetical protein_AAEL006143		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001657485	AAEL006143	Vector Base		
6/10/2015 13:31:00	Aedes albopictus	conserved hypothetical protein_AAEL006328		mRNA	chitin binding	carbohydrate metabolic process; chitin metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001651892	AAEL006328	Vector Base		
6/10/2015 11:23:52	Aedes albopictus	conserved hypothetical protein_AAEL008645		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001659331	AAEL008645	Vector Base		
6/10/2015 11:46:03	Aedes albopictus	conserved hypothetical protein_AAEL012019		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001662104	AAEL012019	Vector Base		
6/10/2015 14:51:36	Aedes albopictus	conserved hypothetical protein_AAEL014318		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001648372	AAEL014318	Vector Base		
6/13/2015 11:32:52	Aedes albopictus	Cyclo-hex-1-ene-1-carboxyl CoA hydratase	JO879395	mRNA	NaN	NaN					
6/11/2015 16:19:21	Aedes albopictus	CYP18A1		mRNA	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	oxidation-reduction process	Similar to Aedes aegypti, UniProt identifier: XM_001649920	AAEL004870	Vector Base		
4/26/2015 18:09:04	Aedes albopictus	cysteine-rich venom protein	GT564937	EST	NaN	NaN	Sličnost - 3.00e09, Aedes aegypti				
